,Unnamed: 0,InterIdNew,Weekend,TimeSlot,Left,Right,Straight,Latitude,Longitude,cluster
217,2111,Atlanta_361,0,NormalDay(10:00-16:00),13.0,12.0,0.0,33.75162,-84.29223,0
218,2121,Atlanta_362,0,NormalDay(10:00-16:00),29.0,19.0,0.0,33.76888,-84.39609,0
228,2216,Atlanta_375,0,NormalDay(10:00-16:00),3.0,13.5,0.0,33.760940000000005,-84.38418,0
232,2254,Atlanta_380,0,NormalDay(10:00-16:00),44.5,27.408148217123,0.0,33.722,-84.39423000000002,0
237,2304,Atlanta_386,0,NormalDay(10:00-16:00),25.0,16.005423312038698,0.0,33.75844,-84.38763,0
241,2342,Atlanta_390,0,NormalDay(10:00-16:00),51.0,24.0,0.0,33.743320000000004,-84.34921,0
242,2352,Atlanta_391,0,NormalDay(10:00-16:00),12.4584661345698,0.0,0.0,33.78715,-84.40741,0
243,2362,Atlanta_392,0,NormalDay(10:00-16:00),77.0,13.0,0.0,33.82537,-84.36053000000003,0
248,2411,Atlanta_399,0,NormalDay(10:00-16:00),52.4025644216311,39.700278040543104,0.0,33.74478,-84.291,0
249,2421,Atlanta_4,0,NormalDay(10:00-16:00),66.5,34.0,0.0,33.81767,-84.36695999999998,0
254,2471,Atlanta_408,0,NormalDay(10:00-16:00),22.0,13.0,0.0,33.72933,-84.41585,0
258,2511,Atlanta_411,0,NormalDay(10:00-16:00),0.0,0.0,0.0,33.74732,-84.30664,0
263,2561,Atlanta_418,0,NormalDay(10:00-16:00),72.5,19.9588774035322,0.0,33.7947,-84.43189,0
264,2571,Atlanta_419,0,NormalDay(10:00-16:00),24.0,1.86595737481544,0.0,33.76782,-84.34900999999998,0
267,2601,Atlanta_421,0,NormalDay(10:00-16:00),31.0,70.5,0.0,33.8315,-84.38546,0
271,2634,Atlanta_428,0,NormalDay(10:00-16:00),0.0,19.0,0.0,33.7584,-84.38422,0
272,2644,Atlanta_429,0,NormalDay(10:00-16:00),7.0,47.5,0.0,33.698190000000004,-84.48329,0
273,2654,Atlanta_43,0,NormalDay(10:00-16:00),0.0,11.5,0.0,33.7304,-84.38795,0
274,2664,Atlanta_430,0,NormalDay(10:00-16:00),32.0,29.0,0.0,33.78663,-84.39041999999998,0
277,2693,Atlanta_435,0,NormalDay(10:00-16:00),49.0,21.5,0.0,33.75543,-84.3492,0
283,2751,Atlanta_444,0,NormalDay(10:00-16:00),0.0,9.90823925400994,0.0,33.68287,-84.50636,0
297,2883,Atlanta_460,0,NormalDay(10:00-16:00),77.0,8.5,0.0,33.75355,-84.34921,0
300,2913,Atlanta_465,0,NormalDay(10:00-16:00),5.2956311895211785,5.3247955011923205,0.0,33.76016,-84.34912,0
305,2962,Atlanta_472,0,NormalDay(10:00-16:00),0.0,39.64667461185,0.0,33.73982,-84.30043,0
316,3072,Atlanta_490,0,NormalDay(10:00-16:00),79.0,30.5,0.0,33.77258,-84.38025999999998,0
323,3142,Atlanta_497,0,NormalDay(10:00-16:00),83.0,9.5,0.0,33.79085,-84.49687,0
324,3152,Atlanta_498,0,NormalDay(10:00-16:00),46.0,5.8027302598279284,0.0,33.74432,-84.40841999999998,0
325,3162,Atlanta_499,0,NormalDay(10:00-16:00),40.0,31.190099292676397,0.0,33.835,-84.40742,0
330,3211,Atlanta_502,0,NormalDay(10:00-16:00),15.0,0.0,0.0,33.75842,-84.38608,0
337,3278,Atlanta_510,0,NormalDay(10:00-16:00),55.2406447246882,14.901342338789801,0.0,33.790820000000004,-84.36711,0
339,3297,Atlanta_512,0,NormalDay(10:00-16:00),50.0,3.0,0.0,33.673559999999995,-84.49715,0
348,3380,Atlanta_54,0,NormalDay(10:00-16:00),70.5,15.0,0.0,33.69558,-84.52786,0
349,3390,Atlanta_56,0,NormalDay(10:00-16:00),20.0,0.0,0.0,33.75967,-84.3842,0
351,3410,Atlanta_58,0,NormalDay(10:00-16:00),13.0,0.0,0.0,33.74743,-84.33182,0
358,3474,Atlanta_70,0,NormalDay(10:00-16:00),11.0,67.0,0.0,33.74739,-84.3263,0
360,3494,Atlanta_72,0,NormalDay(10:00-16:00),17.0,0.0,0.0,33.76271,-84.3527,0
363,3524,Atlanta_76,0,NormalDay(10:00-16:00),114.725026809764,28.126017503260197,0.0,33.76028,-84.34886,0
371,3601,Atlanta_92,0,NormalDay(10:00-16:00),0.0,12.621945310643197,0.0,33.764,-84.389,0
372,3611,Atlanta_93,0,NormalDay(10:00-16:00),0.0,4.1266963393266805,0.0,33.79588,-84.36794,0
